objectid,name,nguid,local_id,source_datadesc,source_datasetid,source_featureid,source_originator,loaddate,county_fips,county_id,shape_Length,shape_Area
79,Jay County,urn:emergency:uid:gis:A2:1:JAY.IN.US,1,COUNTY BOUNDARY,JAYCOUNTYBOUNDARY,1,JAY COUNTY,2021/11/03 00:00:00+00,18075,38,128783.896557104,995023666.466043
80,Lagrange County,urn:emergency:uid:gis:A2:0:LAGRANGE.IN.US,0,COUNTY BOUNDARY,COUNTY_BOUNDARY.SHP,0,LAGRANGE COUNTY,2022/09/28 00:00:00+00,18087,44,129026.160728682,1001764235.53139
81,Lawrence County,urn:emergency:uid:gis:A2:0:LAWRENCE.IN.US,0,COUNTY BOUNDARY,LAWRENCECOUNTYBOUNDARY.SHP,0,LAWRENCE COUNTY,2021/11/02 00:00:00+00,18093,47,139506.349029548,1170249496.78497
82,Miami County,urn:emergency:uid:gis:A2:0:MIAMI.IN.US,0,COUNTY BOUNDARY,COUNTY.SHP,0,MIAMI COUNTY,2022/09/28 00:00:00+00,18103,52,147125.51387378,976528540.173417
83,Monroe County,urn:emergency:uid:gis:A2:0:MONROE.IN.US,0,COUNTY BOUNDARY,CITIESNANDTOWNS.SHP,0,MONROE COUNTY,2022/08/22 00:00:00+00,18105,53,144859.589262716,1064447886.89859
84,Morgan County,urn:emergency:uid:gis:A2:0:MORGAN.IN.US,0,COUNTY BOUNDARY,MORGANCOUNTYBOUNDARY.SHP,0,MORGAN COUNTY,2022/10/05 00:00:00+00,18109,55,144143.996645003,1059537468.08043
85,Martin County,urn:emergency:uid:gis:A2:1:MARTIN.IN.US,1,COUNTY BOUNDARY,MARTINCOUNTYBOUNDARY,1,MARTIN COUNTY,2021/11/03 00:00:00+00,18101,51,131285.834346198,880493551.145705
86,Marshall County,urn:emergency:uid:gis:A2:0:MARSHALL.IN.US,0,COUNTY BOUNDARY,COUNTYBOUNDARY.SHP,0,MARSHALL COUNTY,2021/10/14 00:00:00+00,18099,50,136959.33724366,1163910719.48537
87,Orange County,urn:emergency:uid:gis:A2:0:ORANGE.IN.US,0,COUNTY BOUNDARY,COUNTY_BOUNDARY.SHP,0,ORANGE COUNTY,2021/11/01 00:00:00+00,18117,59,130340.722878057,1056636784.50138
88,Steuben County,urn:emergency:uid:gis:A2:1:STEUBEN.IN.US,1,COUNTY BOUNDARY,COUNTYBOUNDARY,1,STEUBEN COUNTY,2022/08/29 00:00:00+00,18151,76,116401.976636575,834994706.413458
89,Wabash County,urn:emergency:uid:gis:A2:0:WABASH.IN.US,0,COUNTY BOUNDARY,WABASHBOUNDARY.SHP,0,WABASH COUNTY,2022/08/18 00:00:00+00,18169,85,138220.109599761,1089620688.97462
90,White County,urn:emergency:uid:gis:A2:0:WHITE.IN.US,0,COUNTY BOUNDARY,COUNTYBOUNDARY.SHP,0,WHITE COUNTY,2022/08/31 00:00:00+00,18181,91,170405.938820848,1316597430.35404
91,Whitley County,urn:emergency:uid:gis:A2:0:WHITLEY.IN.US,0,COUNTY BOUNDARY,WHITLEY_COUNTY_BOUNDARY.SHP,0,WHITLEY COUNTY,2021/11/09 00:00:00+00,18183,92,127900.856794316,874972479.745365
92,Wells County,urn:emergency:uid:gis:A2:1:WELLS.IN.US,1,COUNTY BOUNDARY,WCBOUNDARY08032022.SHP,0,WELLS COUNTY,2022/08/04 00:00:00+00,18179,90,141592.603640966,958760841.639068
