County,year,population
Spencer,2009,20992
Spencer,2010,20908
Starke,2000,23525
Starke,2001,23217
Starke,2002,23361
Starke,2003,23336
Starke,2004,23310
Starke,2005,23394
Starke,2006,23362
Starke,2007,23260
Starke,2008,23379
Starke,2009,23343
Starke,2010,23372
Steuben,2000,33339
Steuben,2001,33556
Steuben,2002,33496
Steuben,2003,33789
Steuben,2004,33718
Steuben,2005,33926
Steuben,2006,34044
Steuben,2007,34004
Steuben,2008,34055
Steuben,2009,34194
Steuben,2010,34165
Sullivan,2000,21756
Sullivan,2001,21771
Sullivan,2002,21792
Sullivan,2003,21801
Sullivan,2004,21809
Sullivan,2005,21689
Sullivan,2006,21540
Sullivan,2007,21558
Sullivan,2008,21550
Sullivan,2009,21483
Sullivan,2010,21469
Switzerland,2000,9129
Switzerland,2001,9465
Switzerland,2002,9711
Switzerland,2003,9722
Switzerland,2004,9863
Switzerland,2005,10165
Switzerland,2006,10151
Switzerland,2007,10271
Switzerland,2008,10387
Switzerland,2009,10541
Switzerland,2010,10615
Tippecanoe,2000,149359
Tippecanoe,2001,151095
Tippecanoe,2002,152348
Tippecanoe,2003,154040
Tippecanoe,2004,155832
Tippecanoe,2005,158834
Tippecanoe,2006,163010
Tippecanoe,2007,166226
Tippecanoe,2008,169039
Tippecanoe,2009,171937
Tippecanoe,2010,172963
Tipton,2000,16582
Tipton,2001,16508
Tipton,2002,16529
Tipton,2003,16511
Tipton,2004,16510
Tipton,2005,16411
Tipton,2006,16326
Tipton,2007,16257
Tipton,2008,16137
Tipton,2009,16046
Tipton,2010,15895
Union,2000,7343
Union,2001,7323
Union,2002,7366
Union,2003,7293
Union,2004,7291
Union,2005,7378
Union,2006,7432
Union,2007,7467
Union,2008,7428
Union,2009,7466
Union,2010,7520
Vanderburgh,2000,172052
Vanderburgh,2001,172449
Vanderburgh,2002,173067
Vanderburgh,2003,174239
Vanderburgh,2004,175113
Vanderburgh,2005,175769
Vanderburgh,2006,176822
Vanderburgh,2007,177789
Vanderburgh,2008,178053
Vanderburgh,2009,178995
Vanderburgh,2010,179833
Vermillion,2000,16772
Vermillion,2001,16639
Vermillion,2002,16556
Vermillion,2003,16493
Vermillion,2004,16515
Vermillion,2005,16603
Vermillion,2006,16585
Vermillion,2007,16561
Vermillion,2008,16387
Vermillion,2009,16377
Vermillion,2010,16148
Vigo,2000,105762
Vigo,2001,105482
Vigo,2002,105221
Vigo,2003,105356
Vigo,2004,104662
Vigo,2005,105245
Vigo,2006,106509
Vigo,2007,106885
Vigo,2008,106972
Vigo,2009,107429
Vigo,2010,107958
Wabash,2000,34993
Wabash,2001,34700
Wabash,2002,34488
Wabash,2003,34325
Wabash,2004,34131
Wabash,2005,33806
Wabash,2006,33665
Wabash,2007,33361
Wabash,2008,33238
Wabash,2009,33036
Wabash,2010,32826
Warren,2000,8435
Warren,2001,8553
Warren,2002,8598
Warren,2003,8589
Warren,2004,8609
Warren,2005,8626
Warren,2006,8625
Warren,2007,8554
Warren,2008,8602
Warren,2009,8533
Warren,2010,8501
Warrick,2000,52531
Warrick,2001,52780
Warrick,2002,53317
Warrick,2003,54439
Warrick,2004,55171
Warrick,2005,56066
Warrick,2006,56746
Warrick,2007,57754
Warrick,2008,58435
Warrick,2009,59197
Warrick,2010,59835
Washington,2000,27247
Washington,2001,27484
Washington,2002,27674
Washington,2003,27736
Washington,2004,27854
Washington,2005,27893
Washington,2006,28164
Washington,2007,28236
Washington,2008,28298
Washington,2009,28144
Washington,2010,28290
Wayne,2000,71033
Wayne,2001,70712
Wayne,2002,70545
Wayne,2003,70490
Wayne,2004,70070
Wayne,2005,69793
Wayne,2006,69642
Wayne,2007,69365
Wayne,2008,69093
Wayne,2009,68984
Wayne,2010,68853
Wells,2000,27619
Wells,2001,27626
Wells,2002,27745
Wells,2003,27803
Wells,2004,27826
Wells,2005,27820
Wells,2006,27872
Wells,2007,27836
Wells,2008,27751
Wells,2009,27620
Wells,2010,27642
White,2000,25246
White,2001,25351
White,2002,25240
White,2003,25060
White,2004,24976
White,2005,24861
White,2006,24830
White,2007,24762
White,2008,24871
White,2009,24573
White,2010,24635
Whitley,2000,30634
Whitley,2001,30998
Whitley,2002,31278
Whitley,2003,31621
Whitley,2004,31841
Whitley,2005,32182
Whitley,2006,32597
Whitley,2007,32853
Whitley,2008,33047
Whitley,2009,33125
Whitley,2010,33335
